ciudad,pais,zona_horaria,latitud,longitud,amanecer,atardecer,valores_diarios,dt,temperatura,temp_min,temp_max,estado,dt_txt
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
,,,,,,,,1692046800,23.64,23.64,23.64,Clouds,2023-08-14 21:00:00
